"X.1","food_item","Region","Energy_kcal","Carbohydrates..available_g","Protein_g","Fat_g","Fibre_g","Phytate_mg","Ca_mg","Cu_mg","Fe_mg","I_µg","Mg_mg","Se_µg","Zn_mg","FE2_3.x","FoodName_3","X","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3.y","Description1","Desc1.ref","Description2"
74,"Eggs","E",155,1.1,12.6,10.6,0,0,50,0,1.2,53,10,11,1.1,"A031F#F02.A06BR$F01.A04SF$F27.A031F","egg, chicken, raw",449,"AP","Animal Products",2744,"Eggs and products","231","hen eggs in shell, fresh","231.01","A031G#F28.A07HS","","",""
75,"Eggs","S",147.227533,1.2,12.6,10.3,0,0,39,0.12,1.8,53,9,11,1.15,"A031F#F02.A06BR$F01.A04SF$F27.A031F","egg, chicken, raw",449,"AP","Animal Products",2744,"Eggs and products","231","hen eggs in shell, fresh","231.01","A031G#F28.A07HS","","",""
76,"Eggs","W",139,0,12.1,10.1,0,0,45,0.08,2.4,53,11,11,1.3,"A031F#F02.A06BR$F01.A04SF$F27.A031F","egg, chicken, raw",449,"AP","Animal Products",2744,"Eggs and products","231","hen eggs in shell, fresh","231.01","A031G#F28.A07HS","","",""
77,"Fats, Animals, Raw","E",884.321223,0,0,100,0,0,0,0,0,0,0,0.2,0.11,"A037V#F02.A06AR$F27.A01VA$F28.A0C02","pork lard",428,"AP","Animal Products",2737,"Fats, Animals, Raw and products","21521","pig fat, rendered","21521.01","A037V#F02.A06AR$F27.A01VA$F28.A0C02","","",""
78,"Fats, Animals, Raw","S",884.321223,0,0,100,0,0,0,0,0,0,0,0.2,0.11,"A037V#F02.A06AR$F27.A01VA$F28.A0C03","pork lard",428,"AP","Animal Products",2737,"Fats, Animals, Raw and products","21521","pig fat, rendered","21521.01","A037V#F02.A06AR$F27.A01VA$F28.A0C02","","",""
79,"Fats, Animals, Raw","W",884.321223,0,0,100,0,0,0,0,0,0,0,0.2,0.11,"A037V#F02.A06AR$F27.A01VA$F28.A0C04","pork lard",428,"AP","Animal Products",2737,"Fats, Animals, Raw and products","21521","pig fat, rendered","21521.01","A037V#F02.A06AR$F27.A01VA$F28.A0C02","","",""
80,"Fish, Body Oil","E",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C02","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
81,"Fish, Body Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C03","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
82,"Fish, Body Oil","W",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C04","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
83,"Fish, Liver Oil","E",884,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C05","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
84,"Fish, Liver Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C06","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
85,"Fish, Liver Oil","W",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C07","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
86,"Freshwater Fish","E",98,0,18.1,2.4,0,0,2360,0,0.3,11,175,11.1,0.3,"A029N#F28.A07HS","trout, rainbow, fresh, raw",520,"AP","Animal Products",2761,"Freshwater Fish","1501","freshwater fish, fresh","1501.01","A029N#F28.A07HS","Barb, burbot, carps, catfish, dace, freshwater breams, freshwater drum, gabies, giant sea
perch=barramundi, gourami, gudgeons, mandarin fish, milkfish, nile perch, paddlefishes,
perch, pike, river eels, salmons, shads, sleepers, smelts, snakehead, sturgeons,
tenchs, tilapias, trouts and miscellaneous freshwater and diadromous fishes, etc","",""
87,"Freshwater Fish","S",144.837476,0,26.3,4.3,0,0,86,0.14,2.4,11,39,11.1,1.39,"A029N#F28.A07HS","trout, rainbow, fresh, raw",520,"AP","Animal Products",2761,"Freshwater Fish","1501","freshwater fish, fresh","1501.01","A029N#F28.A07HS","Barb, burbot, carps, catfish, dace, freshwater breams, freshwater drum, gabies, giant sea
perch=barramundi, gourami, gudgeons, mandarin fish, milkfish, nile perch, paddlefishes,
perch, pike, river eels, salmons, shads, sleepers, smelts, snakehead, sturgeons,
tenchs, tilapias, trouts and miscellaneous freshwater and diadromous fishes, etc","",""
88,"Freshwater Fish","W",176,0,15.3,12.8,0,0,2814,0.32,1.7,11,18,11.1,5.8,"A0F8P#F28.A07HS","catfish, african, fresh, raw",521,"AP","Animal Products",2761,"Freshwater Fish","1501","freshwater fish, fresh","1501.02","A0F8P#F28.A07HS","Barb, burbot, carps, catfish, dace, freshwater breams, freshwater drum, gabies, giant sea
perch=barramundi, gourami, gudgeons, mandarin fish, milkfish, nile perch, paddlefishes,
perch, pike, river eels, salmons, shads, sleepers, smelts, snakehead, sturgeons,
tenchs, tilapias, trouts and miscellaneous freshwater and diadromous fishes, etc","",""
89,"Fruits, Other","E",65,15.2,0.5,0.3,1.8,20,10,0.1,0.1,2,9,0.6,0,"A01LF#F28.A07HS","mangoes, raw",300,"FV","Fruits and Vegetables",2625,"Fruits, Other and products","1316","mangoes, guavas, mangosteens","1316.01","A01LF#F28.A07HS","","",""
90,"Fruits, Other","S",72.418738,15.3,0.6,0.2,1.5,20,9,0.07,0.2,2,10,0.6,0.07,"A01LF#F28.A07HS","mangoes, raw",300,"FV","Fruits and Vegetables",2625,"Fruits, Other and products","1316","mangoes, guavas, mangosteens","1316.01","A01LF#F28.A07HS","","",""
91,"Fruits, Other","W",62,13.3,0.6,0.2,2,30,17,0.04,1,2,12,1,0.6,"A01LF#F28.A07HS","mangoes, raw",300,"FV","Fruits and Vegetables",2625,"Fruits, Other and products","1316","mangoes, guavas, mangosteens","1316.01","A01LF#F28.A07HS","","",""
92,"Grapefruit","E",33,7.3,0.7,0.1,1.1,0,12,0.05,0.06,2,9,0.1,0.07,"A01CY#F28.A07HS","grapefruits, raw",278,"FV","Fruits and Vegetables",2613,"Grapefruit and products","1321","pomelos and grapefruits","1321.02","A01CY#F28.A07HS","","",""
93,"Grapefruit","S",39.435946,6.9,0.7,0.1,1.9,0,10,0.04,0.1,2,8,0.1,0.04,"A01CY#F28.A07HS","grapefruits, raw",278,"FV","Fruits and Vegetables",2613,"Grapefruit and products","1321","pomelos and grapefruits","1321.02","A01CY#F28.A07HS","","",""
94,"Grapefruit","W",37,8,0.8,0.1,1.9,0,21,0.04,0.6,2,9,0.1,0,"A01CY#F28.A07HS","grapefruits, raw",278,"FV","Fruits and Vegetables",2613,"Grapefruit and products","1321","pomelos and grapefruits","1321.02","A01CY#F28.A07HS","","",""
95,"Grapes","E",55,11.7,0.2,0.4,2.5,59,7,0,0.2,1,5,0.1,0,"A01DX#F28.A07HS","grapes, raw",294,"FV","Fruits and Vegetables",2620,"Grapes and products (excludingexcl wine) and products","1330","grapes","1330.01","A01DX#F28.A07HS","","",""
96,"Grapes","S",71.70172,14.7,0.7,0.1,2,59,6,0.08,0.3,1,7,0.1,0.06,"A01DX#F28.A07HS","grapes, raw",294,"FV","Fruits and Vegetables",2620,"Grapes and products (excludingexcl wine) and products","1330","grapes","1330.01","A01DX#F28.A07HS","","",""
97,"Grapes","W",69,16.5,0.4,0.1,2,59,13,0.08,0.3,1,7,0.1,0.1,"A01DX#F28.A07HS","grapes, raw",294,"FV","Fruits and Vegetables",2620,"Grapes and products (excludingexcl wine) and products","1330","grapes","1330.01","A01DX#F28.A07HS","","",""
98,"Groundnut Oil","E",884.321223,0,0,100,0,0,0,0,0,0,0,0,0.01,"A037A#F02.A068M$F27.A015H$F28.A0C02","peanut oil",185,"PB","Pulses and Beans",2572,"Groundnut Oil and products","2162","groundnut oil","2162.01","A037A#F02.A068M$F27.A015H$F28.A0C02","","",""
99,"Groundnut Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0.01,"A037A#F02.A068M$F27.A015H$F28.A0C03","peanut oil",185,"PB","Pulses and Beans",2572,"Groundnut Oil and products","2162","groundnut oil","2162.01","A037A#F02.A068M$F27.A015H$F28.A0C02","","",""
100,"Groundnut Oil","W",903,0,0,99.9,0,0,0,0,0,0,0,0,0,"A037A#F02.A068M$F27.A015H$F28.A0C04","peanut oil",185,"PB","Pulses and Beans",2572,"Groundnut Oil and products","2162","groundnut oil","2162.01","A037A#F02.A068M$F27.A015H$F28.A0C02","","",""
101,"Groundnuts (Shelled Eq)","E",567,7.6,25.8,49.2,8.5,1760,92,1.1,4.6,20,168,3,3.3,"A015H#F28.A07LC","peanut, unshelled",152,"PB","Pulses and Beans",2556,"Groundnuts (Shelled Eq) and products","142","groundnuts, excluding shelled","142.01","A015H#F20.A07QD","","",""
102,"Groundnuts (Shelled Eq)","S",605.401529,7.6,25.8,49.2,8.5,1760,92,1.14,4.6,20,168,3,3.27,"A015H#F28.A07LC","peanut, unshelled",152,"PB","Pulses and Beans",2556,"Groundnuts (Shelled Eq) and products","142","groundnuts, excluding shelled","142.01","A015H#F20.A07QD","","",""
103,"Groundnuts (Shelled Eq)","W",578,18.5,24.1,45,6.2,590,53,0.42,4.3,20,185,3,1.9,"A015H#F28.A07LC","peanut, unshelled",152,"PB","Pulses and Beans",2556,"Groundnuts (Shelled Eq) and products","142","groundnuts, excluding shelled","142.01","A015H#F20.A07QD","","",""
104,"Honey","E",304,82.4,0.3,0,0,0,6,0,0.4,0,2,1,0.2,"A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","honey",104,"OT","Other foods",2745,"Honey and products","2910","natural honey","2910.01","A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","","",""
105,"Honey","S",335.564053,82.3,0.3,0,0,0,5,0.05,0.5,0,2,1,0.2,"A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","honey",104,"OT","Other foods",2745,"Honey and products","2910","natural honey","2910.01","A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","","",""
106,"Honey","W",322,80.2,0.3,0,0,0,11,0.05,0.6,0,10,1,2,"A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","honey",104,"OT","Other foods",2745,"Honey and products","2910","natural honey","2910.01","A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","","",""
107,"Lemons, Limes","E",29,6.5,1.1,0.3,2.8,0,26,0,0.6,2,8,0,0.1,"A01BY#F28.A07HS","lemons, raw",273,"FV","Fruits and Vegetables",2612,"Lemons, Limes and products","1322","lemons and limes","1322.01","A01BY#F28.A07HS","","",""
108,"Lemons, Limes","S",49.713193,7,0.7,0.2,4.1,0,29,0.12,0.3,2,9,0,0.09,"A01BY#F28.A07HS","lemons, raw",273,"FV","Fruits and Vegetables",2612,"Lemons, Limes and products","1322","lemons and limes","1322.01","A01BY#F28.A07HS","","",""
109,"Lemons, Limes","W",36,6.3,0.7,0.5,2.1,10,22,0.04,0.6,2,16,0,0.1,"A01BY#F28.A07HS","lemons, raw",273,"FV","Fruits and Vegetables",2612,"Lemons, Limes and products","1322","lemons and limes","1322.01","A01BY#F28.A07HS","","",""
110,"Maize","E",362,69.6,8.1,3.6,7.3,800,6,0.2,3.5,3,127,2.6,1.8,"A000T#F28.A07HS$F28.A07KG$F10.A0F2R","maize, grain, white, dried, raw",34,"CE","Cereals",2514,"Maize and products (including white maize)","112","maize (corn)","112.01","A000T#F28.A07HS$F28.A07KG$F10.A0F2R","","",""
111,"Maize","S",424.474187,75.3,9.2,4.3,10.6,800,10,0.2,3,3,123,2.6,2.3,"A000T#F28.A07HS$F28.A07KG$F10.A0F2R","maize, grain, white, dried, raw",34,"CE","Cereals",2514,"Maize and products (including white maize)","112","maize (corn)","112.01","A000T#F28.A07HS$F28.A07KG$F10.A0F2R","","",""
112,"Maize","W",363,72.3,9.2,3.8,1.5,792,30,0.18,3.2,3,85,16,1.4,"A000T#F28.A07HS$F28.A07KG$F10.A0F2R","maize, grain, white, dried, raw",34,"CE","Cereals",2514,"Maize and products (including white maize)","112","maize (corn)","112.01","A000T#F28.A07HS$F28.A07KG$F10.A0F2R","","",""
113,"Maize Germ Oil","E",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C02","maize oil",200,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
114,"Maize Germ Oil","E",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C02","maize oil",201,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
115,"Maize Germ Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C03","maize oil",200,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
116,"Maize Germ Oil","S",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C03","maize oil",201,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
117,"Maize Germ Oil","W",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C04","maize oil",200,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
118,"Maize Germ Oil","W",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C04","maize oil",201,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
119,"Marine Fish, Other","E",98,0,18.1,2.4,0,0,7,0,0.3,32,21,36.5,0.3,"A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","sardines, tinned",543,"AP","Animal Products",2763,"Pelagic Fish","1532","pelagic fish, canned","1532.01","A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","It can be called canned as well","",""
120,"Marine Fish, Other","S",111.615678,0,24.2,1.5,0,0,18,0.03,0.3,32,58,36.5,0.63,"A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","sardines, tinned",543,"AP","Animal Products",2763,"Pelagic Fish","1532","pelagic fish, canned","1532.01","A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","It can be called canned as well","",""
121,"Marine Fish, Other","W",106,0.9,19.6,2.7,0,0,42,0.04,2.1,32,41,37,1.5,"A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","sardines, tinned",543,"AP","Animal Products",2763,"Pelagic Fish","1532","pelagic fish, canned","1532.01","A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","It can be called canned as well","",""
122,"Meat, Aquatic Mammals","E",111,0,26.5,0.5,0,0,7,0,0.3,32,21,36.5,0.3,"A02KN#F28.A07HS$F10.A166Y","marine mammals meat, fresh, raw",496,"AP","Animal Products",2768,"Meat, Aquatic Mammals","1580","aquatic mammals, meat","1580.01","A02KN#F28.A07HS$F10.A166Y","","",""
123,"Meat, Aquatic Mammals","S",111,0,26.5,0.5,0,0,7,0.03,0.3,32,58,36.5,0.63,"A02KN#F28.A07HS$F10.A166Y","marine mammals meat, fresh, raw",496,"AP","Animal Products",2768,"Meat, Aquatic Mammals","1580","aquatic mammals, meat","1580.01","A02KN#F28.A07HS$F10.A166Y","","",""
124,"Meat, Aquatic Mammals","W",111,0,26.5,0.5,0,0,7,0.03,0.3,32,21,36.5,0.63,"A02KN#F28.A07HS$F10.A166Y","marine mammals meat, fresh, raw",496,"AP","Animal Products",2768,"Meat, Aquatic Mammals","1580","aquatic mammals, meat","1580.01","A02KN#F28.A07HS$F10.A166Y","","",""
125,"Meat, Other","E",151.051625,0,30.2,3.2,0,0,7,0.3,4.5,1,24,4,2.75,"A01SA#F28.A07HS","deer meat, fresh, raw",408,"AP","Animal Products",2735,"Meat, Other and products","21170.92","other meat n.e.c., fresh, chilled or frozen","21170.92.01","A01SA#F28.A07HS","","",""
126,"Meat, Other","S",151.051625,0,30.2,3.2,0,0,7,0.3,4.5,1,24,4,2.75,"A01SA#F28.A07HS","deer meat, fresh, raw",408,"AP","Animal Products",2735,"Meat, Other and products","21170.92","other meat n.e.c., fresh, chilled or frozen","21170.92.01","A01SA#F28.A07HS","","",""
127,"Meat, Other","W",142,2.1,20.7,5.6,0,0,22,0.15,0.9,1,25,10,1.7,"A01RQ#F28.A07HS","rabbit meat, fresh, raw",398,"AP","Animal Products",2735,"Meat, Other and products","21114","meat of rabbits and hares, fresh or chilled","21114.01","A01RQ#F28.A07HS","","",""
128,"Milk - Excluding Butter","E",60,4.5,3.2,3.3,0,0,115,0,0.1,3,11,1,0.4,"A02LV#F02.A06AZ$F01.A057E$F27.A02LV","milk, cow, whole, raw",454,"AP","Animal Products",2848,"Milk - (Excluding excluding Butter butter) and products","2211","raw milk of cattle","2211.01","A02LY#F28.A07HS","","",""
129,"Milk - Excluding Butter","S",62.619502,4.8,3.2,3.4,0,0,120,0.01,0.1,3,12,1,0.38,"A02LV#F02.A06AZ$F01.A057E$F27.A02LV","milk, cow, whole, raw",454,"AP","Animal Products",2848,"Milk - (Excluding excluding Butter butter) and products","2211","raw milk of cattle","2211.01","A02LY#F28.A07HS","","",""
130,"Milk - Excluding Butter","W",75,4.7,3.7,4.6,0,0,210,0.02,0.1,3,14,1,0.4,"A02LV#F02.A06AZ$F01.A057E$F27.A02LV","milk, cow, whole, raw",454,"AP","Animal Products",2848,"Milk - (Excluding excluding Butter butter) and products","2211","raw milk of cattle","2211.01","A02LY#F28.A07HS","","",""
131,"Millet","E",328,62.8,6.6,1.3,13.4,520,275,0.5,2.7,10,27,8,1.2,"A000B#F02.A066Q$F01.A059N$F27.A000B","finger millet,  grain",49,"CE","Cereals",2517,"Millet and products","118","millet","118.02","A000B#F02.A066Q$F01.A059N$F27.A000B","","",""
132,"Millet","S",119.263862,23.3,3.5,1,0.4,520,3,0.16,0.6,10,44,8,0.91,"A001B#F02.A066Q$F01.A059M$F27.A001B","millet, grain",48,"CE","Cereals",2517,"Millet and products","118","millet","118.01","A001B#F02.A066Q$F01.A059M$F27.A001B","","",""
133,"Millet","W",365,65.8,8.3,5.3,10.6,520,19,0.45,14.3,10,97,8,2.7,"A001A#F02.A066Q$F01.A059L$F27.A001A","pearl millet,  grain",50,"CE","Cereals",2517,"Millet and products","118","millet","118.03","A001A#F02.A066Q$F01.A059L$F27.A001A","","",""
134,"Molluscs, Other","E",66.921606,3.9,7.1,2.5,0,0,45,4.46,6.7,0,54,27.4,90.95,"A02HG#F28.A07HS$F10.A166Y","oysters, fresh, raw",533,"AP","Animal Products",2767,"Molluscs, Other","1562","molluscs, fresh","1562.01","A02HG#F28.A07HS$F10.A166Y","","",""
135,"Molluscs, Other","S",66.921606,3.9,7.1,2.5,0,0,45,4.46,6.7,0,54,27.4,90.95,"A02HG#F28.A07HS$F10.A166Y","oysters, fresh, raw",533,"AP","Animal Products",2767,"Molluscs, Other","1562","molluscs, fresh","1562.01","A02HG#F28.A07HS$F10.A166Y","","",""
136,"Molluscs, Other","W",66.921606,3.9,7.1,2.5,0,0,45,1.49,3.5,0,54,27.4,2.2,"A02HG#F28.A07HS$F10.A166Y","oysters, fresh, raw",533,"AP","Animal Products",2767,"Molluscs, Other","1562","molluscs, fresh","1562.01","A02HG#F28.A07HS$F10.A166Y","","",""
137,"Mutton & Goat Meat","E",269,0,24.9,18,0,0,4,0.1,1.7,6,23,4,4.1,"A01RL#F28.A07HS","goat meat, fresh, raw",385,"AP","Animal Products",2732,"Mutton & and Goat Meat and products","21116","meat of goat, fresh or chilled","21116.01","A01RL#F28.A07HS","","",""
138,"Mutton & Goat Meat","S",104.2065,0,20.6,2.3,0,0,13,0.26,2.8,6,0,4,4,"A01RL#F28.A07HS","goat meat, fresh, raw",385,"AP","Animal Products",2732,"Mutton & and Goat Meat and products","21116","meat of goat, fresh or chilled","21116.01","A01RL#F28.A07HS","","",""
139,"Mutton & Goat Meat","W",217,0,17.2,16.5,0,0,9,0.07,2.3,6,20,4,3.1,"A01RH#F28.A07HS","sheep meat, fresh, raw",384,"AP","Animal Products",2732,"Mutton & and Goat Meat and products","21115","meat of sheep, fresh or chilled","21115.01","A01RH#F28.A07HS","","",""
140,"Nuts","E",589,9.5,20,52.2,10.9,2580,266,0.9,3.7,10,296,24,2.9,"A014H#F02.A066R$F01.A05QR$F27.A014H","cashew nuts",133,"OT","Other foods",2551,"Nuts and products","1372","cashew nuts, in shell","1372.01","A014H#F02.A066R$F01.A05QR$F27.A014H","","",""
141,"Nuts","S",605.401529,26.6,15.3,46.4,6.1,2580,45,2.22,6,10,260,24,5.6,"A014H#F02.A066R$F01.A05QR$F27.A014H","cashew nuts",133,"OT","Other foods",2551,"Nuts and products","1372","cashew nuts, in shell","1372.01","A014H#F02.A066R$F01.A05QR$F27.A014H","","",""
142,"Nuts","W",575,27.1,19,42.8,2.9,2580,54,2.15,10.4,10,267,24,2.1,"A014H#F02.A066R$F01.A05QR$F27.A014H","cashew nuts",133,"OT","Other foods",2551,"Nuts and products","1372","cashew nuts, in shell","1372.01","A014H#F02.A066R$F01.A05QR$F27.A014H","","",""
143,"Oats","E",427.10325,61.6,10.7,10.4,1.6,282,54,0.36,4.4,10,153,2,3.18,"A00DH#F02.A068G$F27.A000G$F28.A07LH","oats, rolled",46,"CE","Cereals",2516,"Oats and products","23140.07","oats, rolled","23140.07.01","A00DH#F02.A068G$F27.A000G$F28.A07LH","","",""
144,"Oats","S",427.10325,61.6,10.7,10.4,1.6,282,54,0.36,4.4,10,153,2,3.18,"A00DH#F02.A068G$F27.A000G$F28.A07LH","oats, rolled",46,"CE","Cereals",2516,"Oats and products","23140.07","oats, rolled","23140.07.01","A00DH#F02.A068G$F27.A000G$F28.A07LH","","",""
145,"Oats","W",427.10325,61.6,10.7,10.4,1.6,282,54,0.36,4.4,10,153,2,3.18,"A00DH#F02.A068G$F27.A000G$F28.A07LH","oats, rolled",46,"CE","Cereals",2516,"Oats and products","23140.07","oats, rolled","23140.07.01","A00DH#F02.A068G$F27.A000G$F28.A07LH","","",""
146,"Offals, Edible","E",83,0,14.5,2.4,0,0,3,0.1,1,5,14,40,2.4,"A01ZM#F28.A07HS","beef offal, fresh, raw",410,"AP","Animal Products",2736,"Offals, Edible and products","21151","edible offal of cattle, fresh, chilled or frozen","21151.01","A01ZM#F28.A07HS","","",""
147,"Offals, Edible","S",161.089866,0,15.7,11,0,0,12,0.13,1.7,5,10,40,1.94,"A01ZM#F28.A07HS","beef offal, fresh, raw",410,"AP","Animal Products",2736,"Offals, Edible and products","21151","edible offal of cattle, fresh, chilled or frozen","21151.01","A01ZM#F28.A07HS","","",""
148,"Offals, Edible","W",133,3.8,19.1,4.5,0,0,8,0.5,9.7,5,131,40,3,"A01XF#F28.A07HS","beef liver, fresh, raw",411,"AP","Animal Products",2736,"Offals, Edible and products","21151","edible offal of cattle, fresh, chilled or frozen","21151.02","A01XF#F28.A07HS","","",""
149,"Oilcrops, Other","E",531.548757,3.5,17.5,36.9,29.5,4710,250,3.88,44.2,0,346,1.6,8.24,"A015G#F02.A066S$F01.A05RV$F27.A015G","linseeds",169,"OT","Other foods",2570,"Oilcrops, Other and products","1441","linseed","1441.01","A015G#F02.A066S$F01.A05RV$F27.A015G","","",""
150,"Oilcrops, Other","S",531.548757,3.5,17.5,36.9,29.5,4710,250,3.88,44.2,0,346,1.6,8.24,"A015G#F02.A066S$F01.A05RV$F27.A015G","linseeds",169,"OT","Other foods",2570,"Oilcrops, Other and products","1441","linseed","1441.01","A015G#F02.A066S$F01.A05RV$F27.A015G","","",""
151,"Oilcrops, Other","W",531.548757,3.5,17.5,36.9,29.5,4710,250,3.88,44.2,0,346,1.6,8.24,"A015G#F02.A066S$F01.A05RV$F27.A015G","linseeds",169,"OT","Other foods",2570,"Oilcrops, Other and products","1441","linseed","1441.01","A015G#F02.A066S$F01.A05RV$F27.A015G","","",""
152,"Olive Oil","E",884.321223,0,0,100,0,0,1,0,0.4,0,0,0,0.06,"A036P#F02.A068M$F27.A016M$F28.A0C02","olive oil",196,"OT","Other foods",2580,"Olive Oil and products","2167","olive oil","2167.01","A036P#F02.A068M$F27.A016M$F28.A0C02","","",""
153,"Olive Oil","S",884.321223,0,0,100,0,0,1,0,0,0,0,0,0.4,"A036P#F02.A068M$F27.A016M$F28.A0C02","olive oil",196,"OT","Other foods",2580,"Olive Oil and products","2167","olive oil","2167.01","A036P#F02.A068M$F27.A016M$F28.A0C02","","",""
154,"Olive Oil","W",884.321223,0,0,100,0,0,1,0,0.4,0,0,0,0.06,"A036P#F02.A068M$F27.A016M$F28.A0C02","olive oil",196,"OT","Other foods",2580,"Olive Oil and products","2167","olive oil","2167.01","A036P#F02.A068M$F27.A016M$F28.A0C02","","",""
155,"Olives","E",123.565965,3.1,0.8,10.7,3.2,0,88,0.25,3.3,0,4,0.9,0.22,"A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","olives, preserved",168,"FV","Fruits and Vegetables",2563,"Olives (including preserved) and products","F0262","olives preserved","F0262.01","A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","","",""
156,"Olives","S",123.565965,3.1,0.8,10.7,3.2,0,88,0.25,3.3,0,4,0.9,0.22,"A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","olives, preserved",168,"FV","Fruits and Vegetables",2563,"Olives (including preserved) and products","F0262","olives preserved","F0262.01","A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","","",""
157,"Olives","W",123.565965,3.1,0.8,10.7,3.2,0,88,0.25,3.3,0,4,0.9,0.22,"A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","olives, preserved",168,"FV","Fruits and Vegetables",2563,"Olives (including preserved) and products","F0262","olives preserved","F0262.01","A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","","",""
158,"Onions","E",40,7.9,1.3,0.2,1.3,0,23,0,0.2,2,10,2,0.2,"A00HC#F28.A07HS","onions, raw",224,"FV","Fruits and Vegetables",2602,"Onions and products","1253.02","onions and shallots, dry (excluding dehydrated)","1253.02.01","A00HC#F28.A07HS","","",""
159,"Onions","S",45.889101,8.7,0.9,0.1,1.5,0,30,0.14,0.5,2,12,2,0.31,"A00HC#F28.A07HS","onions, raw",224,"FV","Fruits and Vegetables",2602,"Onions and products","1253.02","onions and shallots, dry (excluding dehydrated)","1253.02.01","A00HC#F28.A07HS","","",""
